Name,Profile_URL,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
Cesar,http://ufcstats.com/fighter-details/64d47ef881a437a4,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,7,1,0
Mauricio,http://ufcstats.com/fighter-details/c6bf75775b278ed8,Alonso,,"6' 2""",170 lbs.,--,,13,7,0
Sarah,http://ufcstats.com/fighter-details/49b130de1da2e1bf,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0
Ali,http://ufcstats.com/fighter-details/e87a13e02c01331d,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0
Rico,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0
Victor,http://ufcstats.com/fighter-details/dc7927cd622676a7,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,5,0
Mike,http://ufcstats.com/fighter-details/c11036da9162cb5f,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0
Patricia,http://ufcstats.com/fighter-details/430c533614d45813,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0
Sean,http://ufcstats.com/fighter-details/e741536153227386,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0
Eddie,http://ufcstats.com/fighter-details/33a331684283900f,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0
Jaime,http://ufcstats.com/fighter-details/4438482bd1d5a029,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0
Joel,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,22,3,0
Thiago,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0
Anthony,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,Alves,,--,--,--,,1,4,0
Amilcar,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0
Warlley,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0
Rafael,http://ufcstats.com/fighter-details/029afd138865d20a,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0
Sam,http://ufcstats.com/fighter-details/d156513a19acf856,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1
Andre,http://ufcstats.com/fighter-details/20821819c401ced8,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1
Adlan,http://ufcstats.com/fighter-details/1e327b281ef6a745,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1
Maiara,http://ufcstats.com/fighter-details/247fbbfafea60bb1,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0
Chris,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Amarante,,--,185 lbs.,--,,2,0,0
Jimmy,http://ufcstats.com/fighter-details/c912f676692c353a,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1
JJ,http://ufcstats.com/fighter-details/d562b12b8fe88336,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0
Alen,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0
Hyder,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,11,0,0
Hamid,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2,Amiri,The Storm,--,145 lbs.,--,,9,0,0
Makwan,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0
Jaqueline,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,10,1,0
Bertrand,http://ufcstats.com/fighter-details/53adf5b845d91e4a,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0
Karl,http://ufcstats.com/fighter-details/23a8c33869bf5392,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2
Eryk,http://ufcstats.com/fighter-details/cad24459b28592ca,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,17,8,0
Matt,http://ufcstats.com/fighter-details/8738eacd62e82a32,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1
Andy,http://ufcstats.com/fighter-details/9199e0735b83dd32,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0
Lowell,http://ufcstats.com/fighter-details/1ffc38f67785797b,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0
Corey,http://ufcstats.com/fighter-details/5e4eec08896c9423,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0
Derek,http://ufcstats.com/fighter-details/19ba965651486013,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0
Megan,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0
Liam,http://ufcstats.com/fighter-details/b03a0c78ca45facf,Anderson,,"6' 3""",185 lbs.,"75.0""",Orthodox,6,3,0
Tatsuya,http://ufcstats.com/fighter-details/17615148dd4be6f6,Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1
Alex,http://ufcstats.com/fighter-details/1562b12763cc8d67,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0
Jessica,http://ufcstats.com/fighter-details/6a1901c62ab3870f,Andrade,Bate Estaca,"5' 1""",125 lbs.,"62.0""",Orthodox,26,13,0
Viscardi,http://ufcstats.com/fighter-details/d221ee27afc7a60e,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0
Jermaine,http://ufcstats.com/fighter-details/9bad58fa651d6196,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0
Juan,http://ufcstats.com/fighter-details/1fd9f744105024a8,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0
Fellipe,http://ufcstats.com/fighter-details/7977fb0fd9c5955d,Andrew,,--,--,--,,0,0,0
Dylan,http://ufcstats.com/fighter-details/00debc804e2b1cd4,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0
Reese,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0
,http://ufcstats.com/fighter-details/d6a3e131ad4ba064,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0
Julius,http://ufcstats.com/fighter-details/e20ad078a7d63361,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0
Collin,http://ufcstats.com/fighter-details/047a91d3d9c79b05,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0
Chad,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13,8,0
Yoji,http://ufcstats.com/fighter-details/e06fd1260ac865a7,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1
Magomed,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,21,1,1
Gadzhimurad,http://ufcstats.com/fighter-details/af997f7611673880,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0
Adam,http://ufcstats.com/fighter-details/25b31165758402dd,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0
Angelo,http://ufcstats.com/fighter-details/dbd198f780286aca,Antonio,,--,205 lbs.,--,Orthodox,1,4,0
Vanilto,http://ufcstats.com/fighter-details/cc49ada1ea955b13,Antunes,,"6' 0""",170 lbs.,"72.0""",Orthodox,16,7,0
Azunna,http://ufcstats.com/fighter-details/78d48d3874dacafd,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0
Shinsho,http://ufcstats.com/fighter-details/4665f9f909cd7214,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0
Jin,http://ufcstats.com/fighter-details/031da10a00c8ccd4,Aoi,Blue Devil,--,145 lbs.,--,,14,5,1
Shinya,http://ufcstats.com/fighter-details/79ded75550efc139,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0
,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,12,0
Josh,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0
Erik,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0
Kenji,http://ufcstats.com/fighter-details/269d103c96a4c3a5,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5
Romie,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0
Felipe,http://ufcstats.com/fighter-details/71002dbc1743b9a7,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1
Igor,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0
